SampleID	TimePoint	Treatment	MouseID
Day-21-LVX_S134	Day_21	LVX	LVX_21
Day-21-LVX_S135	Day_21	LVX	LVX_22
Day-21-LVX_S136	Day_21	LVX	LVX_23
Day-21-LVX_S137	Day_21	LVX	LVX_24
Day-21-LVX_S138	Day_21	LVX	LVX_25
Day-21-Naive_S139	Day_21	Naive	Naive_26
Day-21-Naive_S140	Day_21	Naive	Naive_27
Day-21-Naive_S141	Day_21	Naive	Naive_28
Day-21-Naive_S142	Day_21	Naive	Naive_29
Day-21-Naive_S143	Day_21	Naive	Naive_30
Day-28-R347_S144	Day_28	R347	R347_1
Day-28-R347_S145	Day_28	R347	R347_2
Day-28-R347_S146	Day_28	R347	R347_3
Day-28-R347_S147	Day_28	R347	R347_4
Day-28-R347_S148	Day_28	R347	R347_5
Day-28-LC10_S149	Day_28	LC10	LC10_6
Day-28-LC10_S150	Day_28	LC10	LC10_7
Day-28-LC10_S151	Day_28	LC10	LC10_8
Day-28-LC10_S152	Day_28	LC10	LC10_9
Day-28-LC10_S153	Day_28	LC10	LC10_10
Day-28-VAN_S154	Day_28	VAN	VAN_11
Day-28-VAN_S155	Day_28	VAN	VAN_12
Day-28-VAN_S156	Day_28	VAN	VAN_13
Day-28-VAN_S157	Day_28	VAN	VAN_14
Day-28-VAN_S158	Day_28	VAN	VAN_15
Day-28-LZD_S159	Day_28	LZD	LZD_16
Day-28-LZD_S160	Day_28	LZD	LZD_17
Day-28-LZD_S161	Day_28	LZD	LZD_18
Day-28-LZD_S162	Day_28	LZD	LZD_19
Day-28-LZD_S163	Day_28	LZD	LZD_20
Day-28-LVX_S164	Day_28	LVX	LVX_21
Day-28-LVX_S165	Day_28	LVX	LVX_22
Day-28-LVX_S166	Day_28	LVX	LVX_23
Day-28-LVX_S167	Day_28	LVX	LVX_24
Day-28-LVX_S168	Day_28	LVX	LVX_25
Day-28-Naive_S169	Day_28	Naive	Naive_26
Day-28-Naive_S170	Day_28	Naive	Naive_27
Day-28-Naive_S171	Day_28	Naive	Naive_28
Day-28-Naive_S172	Day_28	Naive	Naive_29
Day-28-Naive_S173	Day_28	Naive	Naive_30
