SampleID	Collection Day	TimePoint	Treatment	MouseID	MouseNumber	Sample Number	DNA Conc. Post Prep	260/280 ratio																				
D2139025	Day 21	Day_21	3902	3902_5	5	5	30.64	1.9																				
D21R3476	Day 21	Day_21	R347	R347_1	1	6	31.01	1.94																				
D21R3477	Day 21	Day_21	R347	R347_2	2	7	38.11	1.83																				
D21R3478	Day 21	Day_21	R347	R347_3	3	8	58.7	1.87																				
D21R3479	Day 21	Day_21	R347	R347_4	4	9	48.07	1.99																				
D21R34710	Day 21	Day_21	R347	R347_5	5	10	46.22	1.85																				
D21Naive16	Day 21	Day_21	Naive	Naive_1	1	16	86.62	1.86																				
D21Naive17	Day 21	Day_21	Naive	Naive_2	2	17	54.47	1.91																				
D21Naive18	Day 21	Day_21	Naive	Naive_3	3	18	67.63	1.93																				
D21Naive19	Day 21	Day_21	Naive	Naive_4	4	19	55.53	1.95																				
D21Naive20	Day 21	Day_21	Naive	Naive_5	5	20	62.38	1.78																				
D2839021	Day 28	Day_28	3902	3902_1	1	1	14.98	2.02																				
D2839022	Day 28	Day_28	3902	3902_2	2	2	15.81	1.81																				
D2839023	Day 28	Day_28	3902	3902_3	3	3	25.58	1.83																				
D2839024	Day 28	Day_28	3902	3902_4	4	4	33.88	1.87																				
D2839025	Day 28	Day_28	3902	3902_5	5	5	61.14	1.88																				
D28R3476	Day 28	Day_28	R347	R347_1	1	6	55.69	1.75																				
D28R3477	Day 28	Day_28	R347	R347_2	2	7	148.6	1.89																				
D28R3478	Day 28	Day_28	R347	R347_3	3	8	61.52	1.81																				
D28R3479	Day 28	Day_28	R347	R347_4	4	9	110.3	1.89																				
D28R34710	Day 28	Day_28	R347	R347_5	5	10	144.8	1.88																				
D28Naive16	Day 28	Day_28	Naive	Naive_1	1	16	57.72	1.82																				
D28Naive17	Day 28	Day_28	Naive	Naive_2	2	17	121.9	1.89																				
D28Naive18	Day 28	Day_28	Naive	Naive_3	3	18	100.3	1.87																				
D28Naive19	Day 28	Day_28	Naive	Naive_4	4	19	40.37	1.78																				
D28Naive20	Day 28	Day_28	Naive	Naive_5	5	20	75.7	1.97																			
	
